id,first_name,last_name,age,gender,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,postal_code,annual_mileage,vehicle_type,speeding_violations,DUIs,past_accidents,outcome
569520,Angelique,Rincon,65,female,0-9y,high school,upper class,0.629027313918201,TRUE,after 2015,FALSE,TRUE,10238,12000.0,sedan,0,0,0,FALSE
750365,Nikolas,Varney,16-25,male,0-9y,none,poverty,0.3577571170184630,FALSE,before 2015,FALSE,FALSE,10238,16000.0,sedan,0,0,0,TRUE
199901,Nikhil,North,16-25,female,0-9y,high school,working class,0.4931457852181980,TRUE,before 2015,FALSE,FALSE,10238,11000.0,sedan,0,0,0,FALSE
478866,Danae,Sales,16-25,male,0-9y,university,working class,0.2060128507324560,TRUE,before 2015,FALSE,TRUE,32765,11000.0,sedan,0,0,0,FALSE
731664,Lawrence,Estes,26-39,male,10-19y,none,working class,0.3883658881572180,TRUE,before 2015,FALSE,FALSE,32765,12000.0,sedan,2,0,1,TRUE
877557,Austyn,Mahon,40-64,female,20-29y,high school,upper class,0.6191273725847390,TRUE,after 2015,FALSE,TRUE,10238,13000.0,sedan,3,0,3,FALSE
930134,Ralph,Nettles,65,male,30y+,high school,upper class,0.4929435502195340,FALSE,after 2015,TRUE,TRUE,10238,13000.0,sedan,7,0,3,FALSE
461006,Brooks,Wilcox,26-39,female,0-9y,university,working class,0.46868929743446500,FALSE,after 2015,FALSE,TRUE,10238,14000.0,sedan,0,0,0,TRUE
68366,Carlie,Baron,40-64,female,20-29y,university,working class,0.5218149362971070,FALSE,before 2015,TRUE,FALSE,10238,13000.0,sedan,0,0,0,FALSE
445911,Deion,Santana,40-64,female,0-9y,high school,upper class,0.5615310319383650,TRUE,before 2015,FALSE,TRUE,32765,11000.0,sedan,0,0,0,TRUE
275820,Juanita,Lindsey,65,male,30y+,high school,upper class,0.6203612640126030,TRUE,after 2015,TRUE,TRUE,10238,10000.0,sedan,6,2,7,FALSE
521399,Beatrice,Salter,65,female,30y+,high school,upper class,0.7298308815593940,TRUE,after 2015,TRUE,FALSE,32765,12000.0,sedan,4,0,0,FALSE
429728,Willis,Mcwhorter,40-64,male,20-29y,high school,upper class,0.6370447435902450,TRUE,before 2015,TRUE,TRUE,10238,8000.0,sedan,4,1,2,FALSE
569640,Talon,Ash,16-25,female,0-9y,university,upper class,0.59125997174597,TRUE,before 2015,FALSE,TRUE,10238,,sedan,0,0,0,FALSE
980181,Kelis,Alley,26-39,male,10-19y,high school,middle class,0.4615679630439450,TRUE,before 2015,TRUE,TRUE,10238,12000.0,sedan,0,2,1,FALSE
906223,Stacey,Cooper,26-39,female,0-9y,high school,upper class,0.7627979410816130,FALSE,after 2015,TRUE,FALSE,10238,,sedan,0,0,0,FALSE
517747,Demond,Dunning,65,male,30y+,university,upper class,0.7961748462456990,TRUE,before 2015,TRUE,TRUE,32765,,sedan,10,2,1,FALSE
24851,Rory,Buchanan,16-25,male,0-9y,none,poverty,,FALSE,before 2015,TRUE,FALSE,32765,12000.0,sedan,0,0,0,TRUE
104086,Haden,Hensley,26-39,female,0-9y,university,upper class,0.6805942795073380,TRUE,before 2015,FALSE,TRUE,32765,,sedan,0,0,0,TRUE
240658,Roland,Montano,16-25,female,0-9y,high school,working class,0.4177139816231190,TRUE,before 2015,FALSE,TRUE,10238,18000.0,sedan,0,0,0,TRUE
484399,Don,Kimble,16-25,female,0-9y,high school,working class,0.4095135306516070,FALSE,before 2015,FALSE,FALSE,10238,17000.0,sedan,0,0,0,TRUE
912828,Rochelle,Guevara,16-25,male,0-9y,high school,middle class,0.5532600531952380,TRUE,after 2015,TRUE,TRUE,32765,8000.0,sedan,0,0,0,TRUE
892754,Leeann,Earle,40-64,male,20-29y,none,poverty,0.3309502618581890,TRUE,before 2015,TRUE,TRUE,10238,13000.0,sedan,3,1,1,FALSE
217,Genesis,Beck,16-25,male,0-9y,none,poverty,,FALSE,before 2015,FALSE,FALSE,10238,17000.0,sedan,0,0,0,FALSE
